标志,ID,人物,位置,内容,跳转,是否锁定,效果,目标
#,0,泰拉,右,眼前 是无穷的黑,1,否,,
#,1,泰拉,右,好像宇宙诞生前的沉寂与黑暗,2,否,,
#,2,泰拉,右,突然 你感受到眼前的光亮,3,否,,
#,3,泰拉,右,睁开眼吗?,4,否,,
&,4,泰拉,右,继续沉默在黑暗中,6,否,,
&,5,泰拉,右,睁眼,7,否,,
#,6,泰拉,右,黑暗中 你感受到了阳光带来的刺痛,3,否,,
#,7,泰拉,右,这是......,8,否,,
#,8,泰拉,右,这是哪儿?,9,否,,
#,9,泰拉,右,......,10,否,,
#,10,伊达,左,“泰拉 你终于醒了”,11,否,,
#,11,伊达,左,“我和叔叔在这等你好久了”,12,否,,
#,12,泰拉,右,我的手被她牵起,13,否,,
#,13,泰拉,右,视线望向远处的浅海......,14,否,,
#,14,泰拉,右,浅海的中央是一艘搁浅的船,15,否,,
#,15,泰拉,右,一个男人站在它的面前,16,否,,
#,16,泰拉,右,静立着 宛若一座雕像,17,否,,
#,17,泰拉,右,那是......那是父亲！！,18,否,,
#,18,泰拉,右,我向前狂奔着,19,否,,
#,19,泰拉,右,害怕这次他像之前那样消失,20,否,,
#,20,泰拉,右,父亲,21,否,,
#,21,泰拉,右,等等我,22,否,,
#,22,泰拉,右,父亲————,23,否,,
END,23,,,,,否,,
